alpha,cl,cd
0.0,0.0409,0.0203
2.0,0.1988,0.0293
4.0,0.4422,0.0276
6.0,0.6491,0.0421
8.0,0.7795,0.053
10.0,0.8784,0.0632
12.0,0.9538,0.0847
14.0,1.0019,0.1109
15.0,0.3698,0.2008
16.0,0.428,0.2317
18.0,0.4655,0.2608
20.0,0.5521,0.2828
25.0,0.6952,0.3965
30.0,0.8417,0.5591
35.0,1.0072,0.8047
40.0,1.1955,1.0996
45.0,1.3288,1.3841
50.0,1.3649,1.6509
55.0,1.3543,1.9554
60.0,1.3022,2.2291
65.0,1.2088,2.4911
70.0,1.0814,2.7437
75.0,0.8837,2.89
80.0,0.6636,3.0548
85.0,0.4337,3.1516
90.0,0.1855,3.1884
95.0,-0.0712,3.1806
100.0,-0.3213,3.0769
105.0,-0.55,2.9683
110.0,-0.759,2.78
115.0,-0.9265,2.5459
120.0,-1.0536,2.2925
125.0,-1.1414,2.0339
130.0,-1.2081,1.7844
135.0,-1.1901,1.4838
140.0,-1.1329,1.2009
145.0,-0.9972,0.9042
150.0,-0.8078,0.6202
155.0,-0.5939,0.3901
160.0,-0.5147,0.2776
164.0,-0.5063,0.2221
166.0,-0.5698,0.2005
168.0,-0.6595,0.1591
170.0,-0.7224,0.1004
172.0,-0.6569,0.0551
174.0,-0.534,0.0424
176.0,-0.3893,0.0494
178.0,-0.1919,0.0558
180.0,-0.012,0.0688
