alpha,cl,cd
0.0,-0.0053,0.0295
2.0,0.2267,0.0312
4.0,0.4712,0.0387
6.0,0.6096,0.0643
8.0,0.7357,0.0663
10.0,0.7938,0.0821
11.0,0.8015,0.0975
11.5,0.8155,0.1078
12.0,0.744,0.1305
12.5,0.5744,0.1333
13.0,0.4066,0.1636
14.0,0.3538,0.1814
16.0,0.396,0.2149
18.0,0.4815,0.2459
20.0,0.5226,0.2844
22.0,0.5652,0.3256
24.0,0.5945,0.3766
26.0,0.6303,0.4146
28.0,0.6809,0.4686
30.0,0.734,0.5353
32.0,0.7727,0.5989
34.0,0.8009,0.6515
36.0,0.8411,0.7123
37.0,0.8475,0.7377
38.0,0.8587,0.7703
39.0,0.5011,0.4943
40.0,0.5299,0.5362
42.0,0.5382,0.5908
44.0,0.5486,0.5964
46.0,0.5494,0.635
48.0,0.5496,0.6738
50.0,0.551,0.7072
52.0,0.5307,0.737
54.0,0.5285,0.7607
56.0,0.5178,0.8014
58.0,0.5067,0.8384
60.0,0.4943,0.8583
62.0,0.4826,0.9061
64.0,0.4528,0.9113
66.0,0.4365,0.9512
68.0,0.4109,0.9685
70.0,0.3896,0.9956
72.0,0.3603,1.0194
74.0,0.3313,1.0363
76.0,0.3,1.0449
78.0,0.2719,1.0604
80.0,0.236,1.0651
82.0,0.2117,1.0772
84.0,0.1822,1.0791
86.0,0.1419,1.0808
88.0,0.1078,1.0937
90.0,0.066,1.0951
92.0,0.0398,1.0957
94.0,-0.0002,1.0754
96.0,-0.0317,1.0711
98.0,-0.0678,1.062
100.0,-0.0977,1.0505
102.0,-0.1321,1.0258
104.0,-0.1648,1.02
106.0,-0.194,1.0044
108.0,-0.2236,0.9826
110.0,-0.2533,0.9584
112.0,-0.2788,0.9376
114.0,-0.3062,0.9241
116.0,-0.3207,0.8873
118.0,-0.3438,0.847
120.0,-0.3654,0.8266
122.0,-0.3878,0.8013
124.0,-0.3977,0.7603
126.0,-0.4105,0.7342
128.0,-0.4235,0.6974
130.0,-0.4327,0.6607
132.0,-0.4564,0.6548
134.0,-0.4557,0.6138
136.0,-0.4572,0.5651
138.0,-0.4564,0.5408
140.0,-0.4273,0.4808
141.0,-0.8344,0.8487
142.0,-0.836,0.818
144.0,-0.8086,0.7691
146.0,-0.7767,0.69
148.0,-0.745,0.6166
150.0,-0.6805,0.5262
152.0,-0.5988,0.4294
154.0,-0.5723,0.3671
156.0,-0.5475,0.3479
158.0,-0.5352,0.3022
160.0,-0.5151,0.2627
162.0,-0.522,0.2573
164.0,-0.581,0.2327
166.0,-0.6403,0.1939
168.0,-0.6894,0.1242
170.0,-0.6241,0.0776
172.0,-0.5249,0.0624
174.0,-0.3939,0.0557
176.0,-0.1671,0.0727
178.0,-0.0587,0.08
180.0,0.0112,0.0685
